r,V,sigma_V,DD,PD,leverage,converged
0.01,3929415720513.1333,0.31249734008530966,11.66656183225959,9.445216191158291e-32,0.025107295083330254,True
0.01473684210526316,3928954141895.01,0.3125340526667063,11.679935046527884,8.070941461571778e-32,0.02511024472085486,True
0.019473684210526317,3928494744531.7114,0.312570600314234,11.693313182357747,6.894998778037846e-32,0.025113181107681543,True
0.024210526315789474,3928037518115.411,0.3126069837266312,11.706696224608905,5.889004450605519e-32,0.025116104300178254,True
0.02894736842105263,3927582452386.992,0.312643203600095,11.720084158174322,5.028601906177141e-32,0.02511901435450225,True
0.03368421052631579,3927129537135.8193,0.3126792608078496,11.73347696106244,4.2928957284024874e-32,0.025121911326600573,True
0.03842105263157895,3926678762199.5103,0.3127151557669268,11.746874628782356,3.66396294379231e-32,0.025124795272210593,True
0.04315789473684211,3926230117463.704,0.31275088928322015,11.760277141810109,3.126435468562277e-32,0.02512766624686054,True
0.04789473684210527,3925783592861.8394,0.31278646204525273,11.773684485074897,2.66713821014266e-32,0.025130524305869973,True
0.052631578947368425,3925339178374.923,0.3128218747389566,11.787096643541798,2.2747790607976633e-32,0.025133369504350363,True
0.05736842105263158,3924896864031.31,0.3128571280476789,11.800513602211783,1.9396821256601e-32,0.025136201897205567,True
0.06210526315789474,3924456639906.4775,0.31289222265218875,11.813935346121642,1.6535584062986373e-32,0.025139021539132375,True
0.0668421052631579,3924018496122.802,0.3129271592306837,11.827361860344014,1.4093087296825587e-32,0.025141828484621022,True
0.07157894736842106,3923582422849.337,0.312961938458796,11.84079312998735,1.200854430222458e-32,0.025144622787955734,True
0.07631578947368421,3923148410301.5957,0.31299656100960005,11.854229140195875,1.0229919124424904e-32,0.025147404503215225,True
0.08105263157894736,3922716448741.3276,0.3130310275536181,11.867669876149591,8.712677570376376e-33,0.02515017368427326,True
0.08578947368421053,3922286528476.3027,0.3130653387588273,11.881115323064254,7.418714950242477e-33,0.025152930384799158,True
0.09052631578947369,3921858639860.093,0.31309949529066633,11.894565466191338,6.315435733248572e-33,0.025155674658258326,True
0.09526315789473684,3921432773291.8545,0.31313349781204214,11.908020290818017,5.3749637903632076e-33,0.025158406557912807,True
0.1,3921008919216.115,0.3131673469833365,11.921479782267147,4.573464862455261e-33,0.025161126136821803,True
